"Label","Beta","p","Beta","p"
"pd : No controls","-0.087","2.8e-30","-0.035","0.001"
"indiv : No controls","-0.051","3e-05","0.41","2.9e-100"
"mas : No controls","0.11","1.7e-108","0.11","1.3e-45"
"ua : No controls","-0.19","1.1e-265","0.016","0.061"
"lto : No controls","-0.36","0","-0.61","0"
"indul : No controls","0.072","2e-21","-0.017","0.084"
"ggr : No controls","-0.084","3.5e-39","-0.067","1.2e-24"
"SIZE : No controls","0.0084","0.049","-0.02","4.3e-06"
"BTM : No controls","-0.045","1.1e-36","-0.036","4.6e-25"
"LEV : No controls","-0.0021","0.57","0.0029","0.43"
"ROA : No controls","0.00038","0.92","-0.0024","0.54"
